Date,Demand,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,IsWeekend,Lag_1,Lag_7,Lag_14,Lag_28,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_28,Demand_Change_1,Demand_Change_7,Short_Long_Ratio,Recent_Trend
2009-12-29,0,1,29,12,4,53,0,0.0,499.0,653.0,312.0,71.42857142857143,157.64285714285714,178.71428571428572,-499.0,-653.0,0.397456279809221,-107.28571428571429
2009-12-30,0,2,30,12,4,53,0,0.0,1.0,464.0,599.0,0.14285714285714285,111.0,167.57142857142858,-1.0,-464.0,0.0008474576271186439,-167.42857142857144
2009-12-31,0,3,31,12,4,53,0,0.0,0.0,168.0,190.0,0.0,77.85714285714286,146.17857142857142,0.0,-168.0,0.0,-146.17857142857142
2010-01-01,0,4,1,1,1,53,0,0.0,0.0,86.0,204.0,0.0,65.85714285714286,139.39285714285714,0.0,-86.0,0.0,-139.39285714285714
2010-01-02,0,5,2,1,1,53,1,0.0,0.0,0.0,48.0,0.0,59.714285714285715,132.10714285714286,0.0,0.0,0.0,-132.10714285714286
2010-01-03,0,6,3,1,1,53,1,0.0,0.0,72.0,175.0,0.0,59.714285714285715,130.39285714285714,0.0,-72.0,0.0,-130.39285714285714
2010-01-04,0,0,4,1,1,1,0,0.0,0.0,264.0,89.0,0.0,54.57142857142857,124.14285714285714,0.0,-264.0,0.0,-124.14285714285714
2010-01-05,27,1,5,1,1,1,0,0.0,0.0,499.0,103.0,0.0,35.714285714285715,120.96428571428571,0.0,-499.0,0.0,-120.96428571428571
2010-01-06,0,2,6,1,1,1,0,27.0,0.0,1.0,213.0,3.857142857142857,2.0,118.25,27.0,26.0,0.03234501347708895,-114.39285714285714
2010-01-07,636,3,7,1,1,1,0,0.0,0.0,0.0,307.0,3.857142857142857,1.9285714285714286,110.64285714285714,0.0,0.0,0.0345489443378119,-106.78571428571428
2010-01-08,48,4,8,1,1,1,0,636.0,0.0,0.0,304.0,94.71428571428571,47.357142857142854,122.39285714285714,636.0,636.0,0.7675832127351664,-27.67857142857143
2010-01-09,0,5,9,1,1,1,1,48.0,0.0,0.0,0.0,101.57142857142857,50.785714285714285,113.25,48.0,48.0,0.8890278211941232,-11.67857142857143
2010-01-10,60,6,10,1,1,1,1,0.0,0.0,0.0,105.0,101.57142857142857,50.785714285714285,113.25,0.0,0.0,0.8890278211941232,-11.67857142857143
2010-01-11,64,0,11,1,1,2,0,60.0,0.0,0.0,148.0,110.14285714285714,55.07142857142857,111.64285714285714,60.0,60.0,0.9778059606848446,-1.5
2010-01-12,247,1,12,1,1,2,0,64.0,27.0,0.0,653.0,119.28571428571429,59.642857142857146,108.64285714285714,37.0,64.0,1.0879478827361564,10.642857142857153
2010-01-13,7,2,13,1,1,2,0,247.0,0.0,0.0,464.0,150.71428571428572,77.28571428571429,94.14285714285714,247.0,247.0,1.5840840840840842,56.571428571428584
2010-01-14,31,3,14,1,1,2,0,7.0,636.0,0.0,168.0,151.71428571428572,77.78571428571429,77.82142857142857,-629.0,7.0,1.9247847757136385,73.89285714285715
2010-01-15,48,4,15,1,1,2,0,31.0,48.0,0.0,86.0,65.28571428571429,80.0,72.92857142857143,-17.0,31.0,0.8830917874396136,-7.642857142857139
2010-01-16,0,5,16,1,1,2,1,48.0,0.0,0.0,0.0,65.28571428571429,83.42857142857143,71.57142857142857,48.0,48.0,0.8996062992125985,-6.285714285714278
2010-01-17,108,6,17,1,1,2,1,0.0,60.0,0.0,72.0,65.28571428571429,83.42857142857143,71.57142857142857,-60.0,0.0,0.8996062992125985,-6.285714285714278
2010-01-18,331,0,18,1,1,3,0,108.0,64.0,0.0,264.0,72.14285714285714,91.14285714285714,72.85714285714286,44.0,108.0,0.9767891682785299,-0.7142857142857224
2010-01-19,68,1,19,1,1,3,0,331.0,247.0,27.0,499.0,110.28571428571429,114.78571428571429,75.25,84.0,304.0,1.4463700234192038,35.03571428571429
2010-01-20,513,2,20,1,1,3,0,68.0,7.0,0.0,1.0,84.71428571428571,117.71428571428571,59.857142857142854,61.0,68.0,1.392018779342723,24.857142857142854
2010-01-21,57,3,21,1,1,3,0,513.0,31.0,636.0,0.0,157.0,154.35714285714286,78.14285714285714,482.0,-123.0,1.983754512635379,78.85714285714286
2010-01-22,125,4,22,1,1,3,0,57.0,48.0,48.0,0.0,160.71428571428572,113.0,80.17857142857143,9.0,9.0,1.979762428508579,80.53571428571429
2010-01-23,0,5,23,1,1,3,1,125.0,0.0,0.0,0.0,171.71428571428572,118.5,84.64285714285714,125.0,125.0,2.005004170141785,87.07142857142858
2010-01-24,109,6,24,1,1,3,1,0.0,108.0,60.0,0.0,171.71428571428572,118.5,84.64285714285714,-108.0,-60.0,2.005004170141785,87.07142857142858
2010-01-25,51,0,25,1,1,4,0,109.0,331.0,64.0,0.0,171.85714285714286,122.0,88.53571428571429,-222.0,45.0,1.919425608296769,83.32142857142857
2010-01-26,799,1,26,1,1,4,0,51.0,68.0,247.0,0.0,131.85714285714286,121.07142857142857,90.35714285714286,-17.0,-196.0,1.4433150899139953,41.5
2010-01-27,243,2,27,1,1,4,0,799.0,513.0,7.0,0.0,236.28571428571428,160.5,118.89285714285714,286.0,792.0,1.9708072683943998,117.39285714285714
2010-01-28,168,3,28,1,1,4,0,243.0,57.0,31.0,0.0,197.71428571428572,177.35714285714286,127.57142857142857,186.0,212.0,1.5377777777777781,70.14285714285715
2010-01-29,73,4,29,1,1,4,0,168.0,125.0,48.0,0.0,213.57142857142858,187.14285714285714,133.57142857142858,43.0,120.0,1.5870488322717622,80.0
2010-01-30,0,5,30,1,1,4,1,73.0,0.0,0.0,0.0,206.14285714285714,188.92857142857142,136.17857142857142,73.0,73.0,1.5027336631085655,69.96428571428572
2010-01-31,111,6,31,1,1,4,1,0.0,109.0,108.0,0.0,206.14285714285714,188.92857142857142,136.17857142857142,-109.0,-108.0,1.5027336631085655,69.96428571428572
