Date,Demand,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,IsWeekend,Lag_1,Lag_7,Lag_14,Lag_28,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_28
2009-12-29,0,1,29,12,4,53,0,0.0,5.0,746.0,164.0,3.5714285714285716,84.35714285714286,134.67857142857142
2009-12-30,0,2,30,12,4,53,0,0.0,20.0,204.0,246.0,2.857142857142857,31.071428571428573,128.82142857142858
2009-12-31,0,3,31,12,4,53,0,0.0,0.0,120.0,143.0,0.0,16.5,120.03571428571429
2010-01-01,0,4,1,1,1,53,0,0.0,0.0,45.0,587.0,0.0,7.928571428571429,114.92857142857143
2010-01-02,0,5,2,1,1,53,1,0.0,0.0,0.0,40.0,0.0,4.714285714285714,93.96428571428571
2010-01-03,0,6,3,1,1,53,1,0.0,0.0,30.0,18.0,0.0,4.714285714285714,92.53571428571429
2010-01-04,432,0,4,1,1,1,0,0.0,0.0,11.0,24.0,0.0,2.5714285714285716,91.89285714285714
2010-01-05,4,1,5,1,1,1,0,432.0,0.0,5.0,282.0,61.714285714285715,32.642857142857146,106.46428571428571
2010-01-06,110,2,6,1,1,1,0,4.0,0.0,20.0,102.0,62.285714285714285,32.57142857142857,96.53571428571429
2010-01-07,447,3,7,1,1,1,0,110.0,0.0,0.0,376.0,78.0,39.0,96.82142857142857
2010-01-08,35,4,8,1,1,1,0,447.0,0.0,0.0,435.0,141.85714285714286,70.92857142857143,99.35714285714286
2010-01-09,0,5,9,1,1,1,1,35.0,0.0,0.0,0.0,146.85714285714286,73.42857142857143,85.07142857142857
2010-01-10,124,6,10,1,1,1,1,0.0,0.0,0.0,14.0,146.85714285714286,73.42857142857143,85.07142857142857
2010-01-11,219,0,11,1,1,2,0,124.0,432.0,0.0,159.0,164.57142857142858,82.28571428571429,89.0
2010-01-12,275,1,12,1,1,2,0,219.0,4.0,0.0,746.0,134.14285714285714,97.92857142857143,91.14285714285714
2010-01-13,130,2,13,1,1,2,0,275.0,110.0,0.0,204.0,172.85714285714286,117.57142857142857,74.32142857142857
2010-01-14,171,3,14,1,1,2,0,130.0,447.0,0.0,120.0,175.71428571428572,126.85714285714286,71.67857142857143
2010-01-15,10,4,15,1,1,2,0,171.0,35.0,0.0,45.0,136.28571428571428,139.07142857142858,73.5
2010-01-16,0,5,16,1,1,2,1,10.0,0.0,0.0,0.0,132.71428571428572,139.78571428571428,72.25
2010-01-17,124,6,17,1,1,2,1,0.0,124.0,0.0,30.0,132.71428571428572,139.78571428571428,72.25
2010-01-18,23,0,18,1,1,3,0,124.0,219.0,432.0,11.0,132.71428571428572,148.64285714285714,75.60714285714286
2010-01-19,264,1,19,1,1,3,0,23.0,275.0,4.0,5.0,104.71428571428571,119.42857142857143,76.03571428571429
2010-01-20,43,2,20,1,1,3,0,264.0,130.0,110.0,20.0,103.14285714285714,138.0,85.28571428571429
2010-01-21,123,3,21,1,1,3,0,43.0,171.0,447.0,0.0,90.71428571428571,133.21428571428572,86.10714285714286
2010-01-22,164,4,22,1,1,3,0,123.0,10.0,35.0,0.0,83.85714285714286,110.07142857142857,90.5
2010-01-23,0,5,23,1,1,3,1,164.0,0.0,0.0,0.0,105.85714285714286,119.28571428571429,96.35714285714286
2010-01-24,10,6,24,1,1,3,1,0.0,124.0,124.0,0.0,105.85714285714286,119.28571428571429,96.35714285714286
2010-01-25,32,0,25,1,1,4,0,10.0,23.0,219.0,0.0,89.57142857142857,111.14285714285714,96.71428571428571
2010-01-26,522,1,26,1,1,4,0,32.0,264.0,275.0,0.0,90.85714285714286,97.78571428571429,97.85714285714286
2010-01-27,187,2,27,1,1,4,0,522.0,43.0,130.0,0.0,127.71428571428571,115.42857142857143,116.5
2010-01-28,51,3,28,1,1,4,0,187.0,123.0,171.0,0.0,148.28571428571428,119.5,123.17857142857143
2010-01-29,62,4,29,1,1,4,0,51.0,164.0,10.0,0.0,138.0,110.92857142857143,125.0
2010-01-30,0,5,30,1,1,4,1,62.0,0.0,0.0,0.0,123.42857142857143,114.64285714285714,127.21428571428571
2010-01-31,10,6,31,1,1,4,1,0.0,10.0,124.0,0.0,123.42857142857143,114.64285714285714,127.21428571428571
2010-02-01,113,0,1,2,1,5,0,10.0,32.0,23.0,432.0,123.42857142857143,106.5,127.57142857142857
2010-02-02,3,1,2,2,1,5,0,113.0,522.0,264.0,4.0,135.0,112.92857142857143,116.17857142857143
2010-02-03,50,2,3,2,1,5,0,3.0,187.0,43.0,110.0,60.857142857142854,94.28571428571429,116.14285714285714
2010-02-04,116,3,4,2,1,5,0,50.0,51.0,123.0,447.0,41.285714285714285,94.78571428571429,114.0
2010-02-05,164,4,5,2,1,5,0,116.0,62.0,164.0,35.0,50.57142857142857,94.28571428571429,102.17857142857143
2010-02-06,0,5,6,2,1,5,1,164.0,0.0,0.0,0.0,65.14285714285714,94.28571428571429,106.78571428571429
2010-02-07,32,6,7,2,1,5,1,0.0,10.0,10.0,124.0,65.14285714285714,94.28571428571429,106.78571428571429
2010-02-08,42,0,8,2,1,6,0,32.0,113.0,32.0,219.0,68.28571428571429,95.85714285714286,103.5
2010-02-09,126,1,9,2,1,6,0,42.0,3.0,522.0,275.0,58.142857142857146,96.57142857142857,97.17857142857143
2010-02-10,0,2,10,2,1,6,0,126.0,50.0,187.0,130.0,75.71428571428571,68.28571428571429,91.85714285714286
2010-02-11,119,3,11,2,1,6,0,0.0,116.0,51.0,171.0,68.57142857142857,54.92857142857143,87.21428571428571
2010-02-12,14,4,12,2,1,6,0,119.0,164.0,62.0,10.0,69.0,59.785714285714285,85.35714285714286
2010-02-13,0,5,13,2,1,6,1,14.0,0.0,0.0,0.0,47.57142857142857,56.357142857142854,85.5
2010-02-14,246,6,14,2,1,6,1,0.0,32.0,10.0,124.0,47.57142857142857,56.357142857142854,85.5
2010-02-15,554,0,15,2,1,7,0,246.0,42.0,113.0,23.0,78.14285714285714,73.21428571428571,89.85714285714286
2010-02-16,41,1,16,2,1,7,0,554.0,126.0,3.0,264.0,151.28571428571428,104.71428571428571,108.82142857142857
2010-02-17,122,2,17,2,1,7,0,41.0,0.0,50.0,43.0,139.14285714285714,107.42857142857143,100.85714285714286
2010-02-18,82,3,18,2,1,7,0,122.0,119.0,116.0,123.0,156.57142857142858,112.57142857142857,103.67857142857143
2010-02-19,183,4,19,2,1,7,0,82.0,14.0,164.0,164.0,151.28571428571428,110.14285714285714,102.21428571428571
2010-02-20,0,5,20,2,1,7,1,183.0,0.0,0.0,0.0,175.42857142857142,111.5,102.89285714285714
2010-02-21,32,6,21,2,1,7,1,0.0,246.0,32.0,10.0,175.42857142857142,111.5,102.89285714285714
2010-02-22,85,0,22,2,1,8,0,32.0,554.0,42.0,32.0,144.85714285714286,111.5,103.67857142857143
2010-02-23,153,1,23,2,1,8,0,85.0,41.0,126.0,522.0,77.85714285714286,114.57142857142857,105.57142857142857
2010-02-24,19,2,24,2,1,8,0,153.0,122.0,0.0,187.0,93.85714285714286,116.5,92.39285714285714
2010-02-25,262,3,25,2,1,8,0,19.0,82.0,119.0,51.0,79.14285714285714,117.85714285714286,86.39285714285714
2010-02-26,52,4,26,2,1,8,0,262.0,183.0,14.0,62.0,104.85714285714286,128.07142857142858,93.92857142857143
2010-02-27,0,5,27,2,1,8,1,52.0,0.0,0.0,0.0,86.14285714285714,130.78571428571428,93.57142857142857
2010-02-28,42,6,28,2,1,8,1,0.0,32.0,246.0,10.0,86.14285714285714,130.78571428571428,93.57142857142857
2010-03-01,50,0,1,3,1,9,0,42.0,85.0,554.0,113.0,87.57142857142857,116.21428571428571,94.71428571428571
2010-03-02,4,1,2,3,1,9,0,50.0,153.0,41.0,3.0,82.57142857142857,80.21428571428571,92.46428571428571
2010-03-03,61,2,3,3,1,9,0,4.0,19.0,122.0,50.0,61.285714285714285,77.57142857142857,92.5
2010-03-04,164,3,4,3,1,9,0,61.0,262.0,82.0,116.0,67.28571428571429,73.21428571428571,92.89285714285714
2010-03-05,434,4,5,3,1,9,0,164.0,52.0,183.0,164.0,53.285714285714285,79.07142857142857,94.60714285714286
2010-03-06,0,5,6,3,1,9,1,434.0,0.0,0.0,0.0,107.85714285714286,97.0,104.25
2010-03-07,42,6,7,3,1,9,1,0.0,42.0,32.0,32.0,107.85714285714286,97.0,104.25
2010-03-08,222,0,8,3,1,10,0,42.0,50.0,85.0,42.0,107.85714285714286,97.71428571428571,104.60714285714286
2010-03-09,272,1,9,3,1,10,0,222.0,4.0,153.0,126.0,132.42857142857142,107.5,111.03571428571429
2010-03-10,256,2,10,3,1,10,0,272.0,61.0,19.0,0.0,170.71428571428572,116.0,116.25
2010-03-11,5,3,11,3,1,10,0,256.0,164.0,262.0,119.0,198.57142857142858,132.92857142857142,125.39285714285714
2010-03-12,32,4,12,3,1,10,0,5.0,434.0,52.0,14.0,175.85714285714286,114.57142857142857,121.32142857142857
2010-03-13,0,5,13,3,1,10,1,32.0,0.0,0.0,0.0,118.42857142857143,113.14285714285714,121.96428571428571
2010-03-14,13,6,14,3,1,10,1,0.0,42.0,42.0,246.0,118.42857142857143,113.14285714285714,121.96428571428571
2010-03-15,30,0,15,3,1,11,0,13.0,222.0,50.0,554.0,114.28571428571429,111.07142857142857,113.64285714285714
2010-03-16,124,1,16,3,1,11,0,30.0,272.0,4.0,41.0,86.85714285714286,109.64285714285714,94.92857142857143
2010-03-17,78,2,17,3,1,11,0,124.0,256.0,61.0,122.0,65.71428571428571,118.21428571428571,97.89285714285714
2010-03-18,183,3,18,3,1,11,0,78.0,5.0,164.0,82.0,40.285714285714285,119.42857142857143,96.32142857142857
2010-03-19,97,4,19,3,1,11,0,183.0,32.0,434.0,183.0,65.71428571428571,120.78571428571429,99.92857142857143
2010-03-20,0,5,20,3,1,11,1,97.0,0.0,0.0,0.0,75.0,96.71428571428571,96.85714285714286
