Date,Demand,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,IsWeekend,Lag_1,Lag_7,Lag_14,Lag_28,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_28
2009-12-29,0,1,29,12,4,53,0,0.0,12.0,357.0,261.0,1.7142857142857142,84.21428571428571,228.78571428571428
2009-12-30,0,2,30,12,4,53,0,0.0,0.0,178.0,750.0,0.0,58.714285714285715,219.46428571428572
2009-12-31,0,3,31,12,4,53,0,0.0,0.0,387.0,359.0,0.0,46.0,192.67857142857142
2010-01-01,0,4,1,1,1,53,0,0.0,0.0,106.0,179.0,0.0,18.357142857142858,179.85714285714286
2010-01-02,0,5,2,1,1,53,1,0.0,0.0,0.0,96.0,0.0,10.785714285714286,173.46428571428572
2010-01-03,0,6,3,1,1,53,1,0.0,0.0,24.0,172.0,0.0,10.785714285714286,170.03571428571428
2010-01-04,37,0,4,1,1,1,0,0.0,0.0,115.0,408.0,0.0,9.071428571428571,163.89285714285714
2010-01-05,162,1,5,1,1,1,0,37.0,0.0,12.0,1610.0,5.285714285714286,3.5,150.64285714285714
2010-01-06,89,2,6,1,1,1,0,162.0,0.0,0.0,248.0,28.428571428571427,14.214285714285714,98.92857142857143
2010-01-07,1193,3,7,1,1,1,0,89.0,0.0,0.0,270.0,41.142857142857146,20.571428571428573,93.25
2010-01-08,214,4,8,1,1,1,0,1193.0,0.0,0.0,231.0,211.57142857142858,105.78571428571429,126.21428571428571
2010-01-09,0,5,9,1,1,1,1,214.0,0.0,0.0,0.0,242.14285714285714,121.07142857142857,125.60714285714286
2010-01-10,78,6,10,1,1,1,1,0.0,0.0,0.0,404.0,242.14285714285714,121.07142857142857,125.60714285714286
2010-01-11,34,0,11,1,1,2,0,78.0,37.0,0.0,239.0,253.28571428571428,126.64285714285714,113.96428571428571
2010-01-12,105,1,12,1,1,2,0,34.0,162.0,0.0,357.0,252.85714285714286,129.07142857142858,106.64285714285714
2010-01-13,88,2,13,1,1,2,0,105.0,89.0,0.0,178.0,244.71428571428572,136.57142857142858,97.64285714285714
2010-01-14,374,3,14,1,1,2,0,88.0,1193.0,0.0,387.0,244.57142857142858,142.85714285714286,94.42857142857143
2010-01-15,162,4,15,1,1,2,0,374.0,214.0,0.0,106.0,127.57142857142857,169.57142857142858,93.96428571428571
2010-01-16,0,5,16,1,1,2,1,162.0,0.0,0.0,0.0,120.14285714285714,181.14285714285714,95.96428571428571
2010-01-17,156,6,17,1,1,2,1,0.0,78.0,0.0,24.0,120.14285714285714,181.14285714285714,95.96428571428571
2010-01-18,106,0,18,1,1,3,0,156.0,34.0,37.0,115.0,131.28571428571428,192.28571428571428,100.67857142857143
2010-01-19,251,1,19,1,1,3,0,106.0,105.0,162.0,12.0,141.57142857142858,197.21428571428572,100.35714285714286
2010-01-20,244,2,20,1,1,3,0,251.0,88.0,89.0,0.0,162.42857142857142,203.57142857142858,108.89285714285714
2010-01-21,92,3,21,1,1,3,0,244.0,374.0,1193.0,0.0,184.71428571428572,214.64285714285714,117.60714285714286
2010-01-22,614,4,22,1,1,3,0,92.0,162.0,214.0,0.0,144.42857142857142,136.0,120.89285714285714
2010-01-23,0,5,23,1,1,3,1,614.0,0.0,0.0,0.0,209.0,164.57142857142858,142.82142857142858
2010-01-24,103,6,24,1,1,3,1,0.0,156.0,78.0,0.0,209.0,164.57142857142858,142.82142857142858
2010-01-25,169,0,25,1,1,4,0,103.0,106.0,34.0,0.0,201.42857142857142,166.35714285714286,146.5
2010-01-26,219,1,26,1,1,4,0,169.0,251.0,105.0,0.0,210.42857142857142,176.0,152.53571428571428
2010-01-27,411,2,27,1,1,4,0,219.0,244.0,88.0,0.0,205.85714285714286,184.14285714285714,160.35714285714286
2010-01-28,176,3,28,1,1,4,0,411.0,92.0,374.0,0.0,229.71428571428572,207.21428571428572,175.03571428571428
2010-01-29,137,4,29,1,1,4,0,176.0,614.0,162.0,0.0,241.71428571428572,193.07142857142858,181.32142857142858
2010-01-30,0,5,30,1,1,4,1,137.0,0.0,0.0,0.0,173.57142857142858,191.28571428571428,186.21428571428572
2010-01-31,270,6,31,1,1,4,1,0.0,103.0,156.0,0.0,173.57142857142858,191.28571428571428,186.21428571428572
2010-02-01,106,0,1,2,1,5,0,270.0,169.0,106.0,37.0,197.42857142857142,199.42857142857142,195.85714285714286
2010-02-02,167,1,2,2,1,5,0,106.0,219.0,251.0,162.0,188.42857142857142,199.42857142857142,198.32142857142858
2010-02-03,193,2,3,2,1,5,0,167.0,411.0,244.0,89.0,181.0,193.42857142857142,198.5
2010-02-04,190,3,4,2,1,5,0,193.0,176.0,92.0,1193.0,149.85714285714286,189.78571428571428,202.21428571428572
2010-02-05,42,4,5,2,1,5,0,190.0,137.0,614.0,214.0,151.85714285714286,196.78571428571428,166.39285714285714
